d,psd_Q0_rej,psd_Q0_rej_se,psd_Q0_msnr,psd_Q0_msnr_se,wpsd_Q0_rej,wpsd_Q0_rej_se,wpsd_Q0_msnr,wpsd_Q0_msnr_se,psd_Q1_rej,psd_Q1_rej_se,psd_Q1_msnr,psd_Q1_msnr_se,wpsd_Q1_rej,wpsd_Q1_rej_se,wpsd_Q1_msnr,wpsd_Q1_msnr_se,psd_Q2_rej,psd_Q2_rej_se,psd_Q2_msnr,psd_Q2_msnr_se,wpsd_Q2_rej,wpsd_Q2_rej_se,wpsd_Q2_msnr,wpsd_Q2_msnr_se,psd_Q3_rej,psd_Q3_rej_se,psd_Q3_msnr,psd_Q3_msnr_se,wpsd_Q3_rej,wpsd_Q3_rej_se,wpsd_Q3_msnr,wpsd_Q3_msnr_se,psd_Q4_rej,psd_Q4_rej_se,psd_Q4_msnr,psd_Q4_msnr_se,wpsd_Q4_rej,wpsd_Q4_rej_se,wpsd_Q4_msnr,wpsd_Q4_msnr_se,IMQ KSD_rej,IMQ KSD_rej_se,Gauss KSD_rej,Gauss KSD_rej_se,Gauss FSSD-opt_rej,Gauss FSSD-opt_rej_se
2,0.05,0.021904291355759033,-0.6731955154314155,0.11975110873541846,0.05,0.021904291355759033,-0.6731955154314155,0.11975110873541846,1.0,0.0,1.366526828542892,0.011612418526841042,1.0,0.0,1.350066483262947,0.012190169069974747,0.95,0.021904291355759033,1.1139268166938594,0.0255856494873829,1.0,0.0,1.344843962776705,0.01251632230619586,0.97,0.017144660799776532,0.9447554405704709,0.016364309128856704,0.99,0.009999999999999998,1.3480507586818375,0.01631623276803195,0.32,0.04688261722621506,0.22271489725921756,0.06847734933235586,1.0,0.0,1.3692197595521427,0.013759060848026496,1.0,0.0,1.0,0.0,0.87,0.033799766898963114
4,0.03,0.01714466079977653,-0.5665322934937174,0.09825414390874972,0.03,0.01714466079977653,-0.5665322934937174,0.09825414390874972,1.0,0.0,1.3591331928383883,0.015464291549881678,1.0,0.0,1.34188549968166,0.015624786540292146,0.89,0.03144660377352202,0.950415943099773,0.04940957108853206,1.0,0.0,1.3326068780714573,0.015679832771159228,0.95,0.021904291355759033,0.9581328775010951,0.018331164666874636,1.0,0.0,1.3385245308135645,0.01640442892543952,0.27,0.044619604333847374,0.16700831325735685,0.0709710955125714,1.0,0.0,1.34759515216232,0.018295393189424764,1.0,0.0,1.0,0.0,0.55,0.05
8,0.06,0.0238683256575942,-0.4801628798245246,0.10693862966479153,0.06,0.0238683256575942,-0.4801628798245246,0.10693862966479153,1.0,0.0,1.3380806411406163,0.015767716911362566,1.0,0.0,1.2869147490657666,0.016368472665774104,0.87,0.03379976689896311,0.8635752379948144,0.03841516782290418,1.0,0.0,1.2767276907820053,0.017162713132338064,0.96,0.01969463855669324,0.9437600613554972,0.016796599202589847,1.0,0.0,1.2780454053055068,0.01745999422106812,0.27,0.04461960433384737,0.046180852012691995,0.08625802704879669,1.0,0.0,1.2825841802236468,0.018311371962278625,1.0,0.0,1.0,0.0,0.35,0.04793724854411023
16,0.01,0.009999999999999998,-0.6165686677997884,0.09989720519525427,0.01,0.009999999999999998,-0.6165686677997884,0.09989720519525427,1.0,0.0,1.2482917462999565,0.017080936257535016,0.98,0.014070529413628968,1.090705585495175,0.023970738276889097,0.38,0.04878317312145634,0.34913054800704235,0.06392454301709961,0.99,0.009999999999999998,1.0865889774230328,0.023515440987995337,0.97,0.017144660799776532,0.9319767744965833,0.015327024814065376,0.99,0.009999999999999998,1.082367935626323,0.02252319759713515,0.1,0.03015113445777636,-0.12402926663092968,0.07483642493592443,1.0,0.0,1.0784048359632634,0.022748661729549997,0.54,0.05009082659620331,0.65,0.04793724854411023,0.22,0.041633319989322654
32,0.02,0.014070529413628966,-0.5839604625900001,0.1143506652881272,0.02,0.014070529413628966,-0.5839604625900001,0.1143506652881272,0.96,0.019694638556693237,1.0315255915758421,0.02620784664790269,0.68,0.04688261722621507,0.7156130943900196,0.049034639112910595,0.13,0.03379976689896311,-0.19128776551638763,0.0899765280923584,0.67,0.04725815626252607,0.6583809020683741,0.06149635275372649,0.89,0.03144660377352201,0.8839475497119699,0.022749543311504923,0.72,0.04512608598542129,0.7433581161574834,0.052130639741253,0.12,0.032659863237109045,-0.21599428002599122,0.07853725430782175,0.71,0.04560480215720686,0.7073785396463564,0.060012271178953455,0.13,0.033799766898963114,0.15,0.03588702812826367,0.06,0.0238683256575942
64,0.08,0.027265992434429072,-0.3482265730978496,0.07391686690724548,0.08,0.027265992434429072,-0.3482265730978496,0.07391686690724548,0.59,0.04943110704237103,0.5307070568000367,0.06075969163042846,0.29,0.04560480215720686,0.027988548054461458,0.08000182596316649,0.08,0.027265992434429072,-0.4673443775882582,0.09729056610794115,0.26,0.0440844002276808,-0.1347420400931186,0.1088020289441072,0.68,0.04688261722621507,0.6381222419550501,0.04234794500631177,0.38,0.048783173121456344,0.2873322430100463,0.07000025297235477,0.07,0.02564323999762428,-0.37548520191134044,0.08738503111904697,0.37,0.048523658709390974,0.25360066988104474,0.06688725636350606,0.05,0.021904291355759033,0.05,0.021904291355759033,0.03,0.01714466079977653
128,0.05,0.021904291355759033,-0.599622417123895,0.09708183750244911,0.05,0.021904291355759033,-0.599622417123895,0.09708183750244911,0.24,0.04292346959909278,-0.06789812859347272,0.089807483599807,0.13,0.033799766898963114,-0.3520834879493513,0.08642877281966069,0.04,0.019694638556693237,-0.6403742882778676,0.10333553541647886,0.1,0.03015113445777636,-0.36755466016438715,0.08734630317315953,0.4,0.0492365963917331,0.14484451041512003,0.09547233634939972,0.18,0.03861229196653691,-0.17824215660879633,0.10246612566012303,0.03,0.01714466079977653,-0.6019244536947257,0.09450324377999264,0.14,0.0348735088019777,-0.23770203740546542,0.09049964637970444,0.04,0.019694638556693237,0.04,0.019694638556693237,0.02,0.014070529413628968
