d,psd_Q0_rej,psd_Q0_rej_se,psd_Q0_msnr,psd_Q0_msnr_se,wpsd_Q0_rej,wpsd_Q0_rej_se,wpsd_Q0_msnr,wpsd_Q0_msnr_se,psd_Q1_rej,psd_Q1_rej_se,psd_Q1_msnr,psd_Q1_msnr_se,wpsd_Q1_rej,wpsd_Q1_rej_se,wpsd_Q1_msnr,wpsd_Q1_msnr_se,psd_Q2_rej,psd_Q2_rej_se,psd_Q2_msnr,psd_Q2_msnr_se,wpsd_Q2_rej,wpsd_Q2_rej_se,wpsd_Q2_msnr,wpsd_Q2_msnr_se,psd_Q3_rej,psd_Q3_rej_se,psd_Q3_msnr,psd_Q3_msnr_se,wpsd_Q3_rej,wpsd_Q3_rej_se,wpsd_Q3_msnr,wpsd_Q3_msnr_se,psd_Q4_rej,psd_Q4_rej_se,psd_Q4_msnr,psd_Q4_msnr_se,wpsd_Q4_rej,wpsd_Q4_rej_se,wpsd_Q4_msnr,wpsd_Q4_msnr_se,IMQ KSD_rej,IMQ KSD_rej_se,Gauss KSD_rej,Gauss KSD_rej_se,Gauss FSSD-opt_rej,Gauss FSSD-opt_rej_se
2,0.06,0.0238683256575942,-0.4424749934412225,0.08563309057148963,0.06,0.0238683256575942,-0.4424749934412225,0.08563309057148963,0.04,0.019694638556693237,-0.44191648219909685,0.08332841612803615,0.05,0.021904291355759033,-0.5311716427621331,0.09515202019283286,0.07,0.02564323999762428,-0.4366483984836702,0.08735016279340081,0.04,0.019694638556693237,-0.5995278240827255,0.09364301603256117,0.1,0.03015113445777636,-0.4226628594347906,0.08656667635192225,0.08,0.027265992434429072,-0.5991348617427787,0.09872055477263682,0.04,0.019694638556693237,-0.4145897730938769,0.07839006300065347,0.12,0.032659863237109045,-0.4129102449355689,0.08880667160757716,0.04,0.019694638556693237,0.04,0.019694638556693237,0.04,0.019694638556693237
4,0.02,0.014070529413628966,-0.6656219708813714,0.09162846570482266,0.02,0.014070529413628966,-0.6656219708813714,0.09162846570482266,0.04,0.019694638556693237,-0.49208257059664184,0.09151535835859426,0.03,0.01714466079977653,-0.5493206104599593,0.08958477053902926,0.03,0.01714466079977653,-0.47276969249159767,0.08484098642217981,0.02,0.014070529413628968,-0.5238413649931976,0.08780324401208715,0.09,0.028762349126466143,-0.4613130486113958,0.09695372801849413,0.02,0.014070529413628968,-0.41585855396202676,0.07680556499752073,0.02,0.014070529413628966,-0.4172429171398436,0.08235693824689858,0.01,0.009999999999999998,-0.5911107498635256,0.10517588373105616,0.02,0.014070529413628968,0.03,0.01714466079977653,0.02,0.014070529413628968
8,0.07,0.02564323999762428,-0.7166012386395789,0.10970931108177281,0.07,0.02564323999762428,-0.7166012386395789,0.10970931108177281,0.06,0.023868325657594204,-0.6361783693488132,0.11370607434927271,0.06,0.0238683256575942,-0.48891408389531804,0.0847384642690316,0.09,0.028762349126466143,-0.2933151338658495,0.08253468578872111,0.08,0.027265992434429075,-0.4202988565351163,0.0837744630959176,0.07,0.02564323999762428,-0.692548902897715,0.10958964134497076,0.04,0.019694638556693237,-0.49985846115495425,0.08786489720989984,0.09,0.028762349126466143,-0.30186232063702134,0.09572607760514376,0.03,0.01714466079977653,-0.5664990258291239,0.0956249661251786,0.07,0.02564323999762428,0.09,0.028762349126466136,0.05,0.021904291355759033
16,0.06,0.023868325657594204,-0.6422518185245539,0.1090817676275109,0.06,0.023868325657594204,-0.6422518185245539,0.1090817676275109,0.06,0.023868325657594204,-0.49144511165118976,0.09258675791700045,0.07,0.02564323999762428,-0.4397775801356836,0.09191456802187739,0.02,0.014070529413628968,-0.6720139360365808,0.11029115541281245,0.06,0.023868325657594204,-0.3645033506642889,0.0708754961035085,0.02,0.014070529413628966,-0.5065424417224967,0.07634762851250111,0.06,0.023868325657594204,-0.48198728621116144,0.0864898691037036,0.02,0.014070529413628966,-0.5473876893836689,0.08593149133156071,0.04,0.019694638556693237,-0.41677416104859444,0.08132642608934408,0.05,0.021904291355759026,0.06,0.023868325657594204,0.04,0.019694638556693237
32,0.04,0.019694638556693237,-0.44250579662634365,0.08159358626451003,0.04,0.019694638556693237,-0.44250579662634365,0.08159358626451003,0.05,0.02190429135575903,-0.5030089824989594,0.09241486033390212,0.08,0.027265992434429072,-0.4042705947729656,0.08225053603754282,0.04,0.019694638556693237,-0.6009396597629497,0.10358304963811052,0.08,0.027265992434429072,-0.3501017481517013,0.07905723683011058,0.09,0.028762349126466143,-0.5394081112065254,0.10989539535150179,0.07,0.02564323999762428,-0.42437328351013415,0.08135327187820607,0.03,0.01714466079977653,-0.5423601508871018,0.08442549396307718,0.08,0.027265992434429072,-0.5980862625238257,0.11488738265714016,0.07,0.02564323999762428,0.05,0.021904291355759033,0.04,0.019694638556693237
64,0.03,0.01714466079977653,-0.39967603146960523,0.07589815650344407,0.03,0.01714466079977653,-0.39967603146960523,0.07589815650344407,0.09,0.028762349126466136,-0.3182150611346465,0.0718073620034879,0.08,0.027265992434429072,-0.5449096101411325,0.10788032872945426,0.05,0.021904291355759033,-0.5107746755325185,0.08477948120665761,0.05,0.021904291355759033,-0.490472517473173,0.09940463254523726,0.06,0.0238683256575942,-0.3990280355895306,0.08384245404462051,0.03,0.01714466079977653,-0.5533615361952883,0.09534253491468611,0.05,0.021904291355759026,-0.5444310031010763,0.08924581323451232,0.03,0.01714466079977653,-0.5072619489022696,0.10275431132566057,0.04,0.019694638556693237,0.04,0.019694638556693237,0.06,0.023868325657594204
128,0.05,0.021904291355759033,-0.646989732559451,0.10940487194949622,0.05,0.021904291355759033,-0.646989732559451,0.10940487194949622,0.06,0.0238683256575942,-0.572232407762836,0.098877318533762,0.06,0.023868325657594197,-0.4574736535861051,0.08587752708559121,0.04,0.019694638556693237,-0.5584883115174525,0.08632680550653002,0.07,0.02564323999762428,-0.4170953393546216,0.08586557916348389,0.04,0.019694638556693237,-0.5630764477145961,0.0993289523412295,0.07,0.02564323999762428,-0.5719786383758795,0.09738768613179963,0.06,0.023868325657594204,-0.5280246549319006,0.11029051375950498,0.09,0.028762349126466143,-0.5015293618559042,0.09099858287583254,0.09,0.028762349126466143,0.08,0.027265992434429072,0.02,0.014070529413628966
