d,psd_Q0_rej,psd_Q0_rej_se,psd_Q0_msnr,psd_Q0_msnr_se,wpsd_Q0_rej,wpsd_Q0_rej_se,wpsd_Q0_msnr,wpsd_Q0_msnr_se,psd_Q1_rej,psd_Q1_rej_se,psd_Q1_msnr,psd_Q1_msnr_se,wpsd_Q1_rej,wpsd_Q1_rej_se,wpsd_Q1_msnr,wpsd_Q1_msnr_se,psd_Q2_rej,psd_Q2_rej_se,psd_Q2_msnr,psd_Q2_msnr_se,wpsd_Q2_rej,wpsd_Q2_rej_se,wpsd_Q2_msnr,wpsd_Q2_msnr_se,psd_Q3_rej,psd_Q3_rej_se,psd_Q3_msnr,psd_Q3_msnr_se,wpsd_Q3_rej,wpsd_Q3_rej_se,wpsd_Q3_msnr,wpsd_Q3_msnr_se,psd_Q4_rej,psd_Q4_rej_se,psd_Q4_msnr,psd_Q4_msnr_se,wpsd_Q4_rej,wpsd_Q4_rej_se,wpsd_Q4_msnr,wpsd_Q4_msnr_se,IMQ KSD_rej,IMQ KSD_rej_se,Gauss KSD_rej,Gauss KSD_rej_se,Gauss FSSD-opt_rej,Gauss FSSD-opt_rej_se
2,0.06,0.023868325657594204,-0.568469000298834,0.09341088189984595,0.06,0.023868325657594204,-0.568469000298834,0.09341088189984595,0.08,0.027265992434429072,-0.626386040814453,0.11347252618995525,0.04,0.01969463855669324,-0.45619143547604535,0.08817781612540497,0.05,0.021904291355759033,-0.39696156170419217,0.09143357007059923,0.05,0.021904291355759033,-0.49909855961688976,0.08193053270835056,0.67,0.04725815626252607,0.670101713477667,0.02141136704353882,0.53,0.05016135580465918,0.554940930622619,0.051362396222997264,0.01,0.009999999999999998,-0.36438683277379896,0.09271158163560893,0.54,0.05009082659620331,0.5758613760420745,0.045991515470261445,1.0,0.0,1.0,0.0,0.94,0.023868325657594204
4,0.04,0.019694638556693237,-0.4029315998626709,0.07834547295570657,0.04,0.019694638556693237,-0.4029315998626709,0.07834547295570657,0.04,0.019694638556693237,-0.34408289406325737,0.07544657293157385,0.06,0.0238683256575942,-0.5935579162282754,0.10355303803445697,0.06,0.0238683256575942,-0.42115543768326835,0.08698368570206928,0.1,0.03015113445777636,-0.5586124520398666,0.09232955253103416,0.93,0.02564323999762428,0.899087287089564,0.019397469398584968,0.83,0.03775251680686369,0.8042960838137796,0.03415395595529115,0.06,0.023868325657594204,-0.2139761130199371,0.07059886773015493,0.85,0.03588702812826367,0.7838076955106655,0.0484754364868213,1.0,0.0,1.0,0.0,0.62,0.04878317312145634
8,0.03,0.01714466079977653,-0.46764369631527664,0.0751581797871733,0.03,0.01714466079977653,-0.46764369631527664,0.0751581797871733,0.03,0.01714466079977653,-0.6810882276000644,0.1001309686803564,0.08,0.027265992434429072,-0.7483874673436064,0.11823573247550574,0.03,0.01714466079977653,-0.6364320152117102,0.11721594066079552,0.06,0.023868325657594204,-0.5724530360196074,0.09527809196250409,0.97,0.017144660799776532,1.121463949993018,0.02135760884357223,0.94,0.023868325657594204,1.038375864976609,0.027510797730430102,0.03,0.017144660799776532,-0.385639713363588,0.07918107847000698,0.94,0.0238683256575942,1.0482552924808066,0.024756423332131555,1.0,0.0,0.38,0.04878317312145634,0.46,0.05009082659620331
16,0.07,0.02564323999762428,-0.43067839528012397,0.09940873222291305,0.07,0.02564323999762428,-0.43067839528012397,0.09940873222291305,0.05,0.021904291355759026,-0.5411635900955214,0.08890863230199722,0.07,0.02564323999762428,-0.507412278431487,0.1032620854263139,0.05,0.021904291355759033,-0.5369456559122645,0.11877833986211539,0.05,0.021904291355759033,-0.5601208645416714,0.09916688021118981,0.99,0.009999999999999998,1.3811865706526163,0.02045620703568475,0.99,0.009999999999999998,1.3144531432186537,0.02256103148413876,0.05,0.021904291355759033,-0.4779867892564862,0.11065604628317369,0.98,0.014070529413628968,1.3037237779266877,0.02539486150373534,0.64,0.048241815132442176,0.12,0.03265986323710904,0.3,0.04605661864718382
32,0.07,0.02564323999762428,-0.5779254935373178,0.1008220421947726,0.07,0.02564323999762428,-0.5779254935373178,0.1008220421947726,0.04,0.019694638556693237,-0.48477768771636015,0.08763838129373075,0.03,0.01714466079977653,-0.5676366779534655,0.09534061078148479,0.05,0.021904291355759033,-0.26612884497367106,0.07218679699944076,0.03,0.017144660799776532,-0.6618595418080365,0.1046030355377839,1.0,0.0,1.6483841692634533,0.018917064802917962,1.0,0.0,1.5759380037806505,0.022660934462187216,0.08,0.027265992434429072,-0.2503896600597883,0.07324898354716203,1.0,0.0,1.572688335220903,0.02315916434683113,0.11,0.031446603773522014,0.06,0.0238683256575942,0.04,0.019694638556693237
64,0.03,0.01714466079977653,-0.45523564121356735,0.08325096444081939,0.03,0.01714466079977653,-0.45523564121356735,0.08325096444081939,0.03,0.017144660799776532,-0.501426029533866,0.08073004197691043,0.06,0.023868325657594204,-0.5241002765413596,0.08281709901883745,0.06,0.023868325657594204,-0.3672956550751676,0.07687004947712223,0.06,0.023868325657594204,-0.5578110509069871,0.09572454391458794,1.0,0.0,1.884291587439155,0.017039294606169392,0.99,0.009999999999999998,1.779315902572435,0.028850427620711206,0.07,0.02564323999762428,-0.3656102754580317,0.08308614766978661,1.0,0.0,1.7990082175267748,0.02027836526174271,0.08,0.027265992434429072,0.04,0.019694638556693237,0.03,0.01714466079977653
128,0.05,0.021904291355759033,-0.4795802670250582,0.08740005673021785,0.05,0.021904291355759033,-0.4795802670250582,0.08740005673021785,0.06,0.0238683256575942,-0.7060696924336379,0.10810660530936715,0.05,0.021904291355759033,-0.5391355034509983,0.09466645171236152,0.09,0.028762349126466143,-0.5338944912535082,0.1107332925354219,0.03,0.01714466079977653,-0.6075237451489481,0.08984922161928428,1.0,0.0,2.1413317159422474,0.012704644448794905,1.0,0.0,2.0642897240278044,0.016253688404625665,0.14,0.0348735088019777,-0.23211713331696054,0.07967696507747074,1.0,0.0,2.0400662972980967,0.017982115560053618,0.03,0.017144660799776532,0.03,0.017144660799776532,0.04,0.01969463855669324
