d,psd_Q0_rej,psd_Q0_rej_se,psd_Q0_msnr,psd_Q0_msnr_se,wpsd_Q0_rej,wpsd_Q0_rej_se,wpsd_Q0_msnr,wpsd_Q0_msnr_se,psd_Q1_rej,psd_Q1_rej_se,psd_Q1_msnr,psd_Q1_msnr_se,wpsd_Q1_rej,wpsd_Q1_rej_se,wpsd_Q1_msnr,wpsd_Q1_msnr_se,psd_Q2_rej,psd_Q2_rej_se,psd_Q2_msnr,psd_Q2_msnr_se,wpsd_Q2_rej,wpsd_Q2_rej_se,wpsd_Q2_msnr,wpsd_Q2_msnr_se,psd_Q3_rej,psd_Q3_rej_se,psd_Q3_msnr,psd_Q3_msnr_se,wpsd_Q3_rej,wpsd_Q3_rej_se,wpsd_Q3_msnr,wpsd_Q3_msnr_se,psd_Q4_rej,psd_Q4_rej_se,psd_Q4_msnr,psd_Q4_msnr_se,wpsd_Q4_rej,wpsd_Q4_rej_se,wpsd_Q4_msnr,wpsd_Q4_msnr_se,IMQ KSD_rej,IMQ KSD_rej_se,Gauss KSD_rej,Gauss KSD_rej_se,Gauss FSSD-opt_rej,Gauss FSSD-opt_rej_se
2,0.05,0.021904291355759033,-0.6650482516359938,0.10691086168530846,0.05,0.021904291355759033,-0.6650482516359938,0.10691086168530846,0.99,0.009999999999999998,1.513973564643893,0.016373598602937064,0.99,0.009999999999999998,1.4970517172609192,0.016274447589109894,0.36,0.048241815132442176,0.14266157112997402,0.09900621461271333,0.98,0.014070529413628966,1.4792967407841062,0.020859071875953962,0.9,0.03015113445777636,0.9329514182855289,0.027324451373577207,0.98,0.014070529413628966,1.477889760737566,0.021194649421823197,0.05,0.021904291355759033,-0.31563774111465387,0.0742180633192515,0.96,0.019694638556693237,1.4489141313657876,0.031071099504847786,1.0,0.0,1.0,0.0,0.78,0.04163331998932266
4,0.06,0.0238683256575942,-0.6276953677531212,0.09196106436523291,0.06,0.0238683256575942,-0.6276953677531212,0.09196106436523291,1.0,0.0,1.778991885696377,0.0178815950258078,1.0,0.0,1.750817180881468,0.019023281917261808,0.32,0.04688261722621506,0.18124612350398459,0.08496548694468557,0.99,0.009999999999999998,1.7236646280712191,0.02407770026543987,0.85,0.03588702812826367,0.9746361710108228,0.034339618719343316,1.0,0.0,1.731828938497334,0.02175680282662607,0.03,0.017144660799776525,-0.3252607709038658,0.07461290705636721,0.98,0.014070529413628966,1.7221142205247935,0.036666755056813896,1.0,0.0,1.0,0.0,0.57,0.0497569851956243
8,0.06,0.023868325657594204,-0.42438395093402465,0.07813419730081188,0.06,0.023868325657594204,-0.42438395093402465,0.07813419730081188,1.0,0.0,2.0793073360194625,0.01485537396068198,1.0,0.0,2.0556584307434744,0.015655605801776207,0.49,0.05024183937956913,0.36955575723071993,0.08488643891457946,1.0,0.0,2.027771063322059,0.01969529287559763,0.89,0.03144660377352201,1.1678403623827582,0.038125323234238784,1.0,0.0,2.029554228290906,0.01933531590685895,0.01,0.009999999999999998,-0.30072702204488616,0.0857116426606989,1.0,0.0,2.0242197615229878,0.021864335630325797,1.0,0.0,1.0,0.0,0.59,0.04943110704237103
16,0.03,0.017144660799776532,-0.5188277055560545,0.0928685072046817,0.03,0.017144660799776532,-0.5188277055560545,0.0928685072046817,1.0,0.0,2.353487887980975,0.01499506016738571,1.0,0.0,2.3238404085843753,0.0163701555682106,0.46,0.05009082659620331,0.284414003115549,0.08463767290300955,1.0,0.0,2.3065872406776347,0.02210623046486817,0.94,0.023868325657594204,1.2867868919134289,0.04122987606819635,1.0,0.0,2.295782858480475,0.024222199078225388,0.02,0.014070529413628966,-0.3203888244786758,0.0803263397426164,1.0,0.0,2.297433952948474,0.027667833109406147,1.0,0.0,1.0,0.0,0.42,0.04960449637488583
32,0.03,0.017144660799776532,-0.47481771383723914,0.080361197966639,0.03,0.017144660799776532,-0.47481771383723914,0.080361197966639,1.0,0.0,2.631407179845473,0.012083414833607404,1.0,0.0,2.605403325113681,0.01094861152025026,0.54,0.05009082659620331,0.46682099036688635,0.07195905622443959,1.0,0.0,2.599948755326106,0.01155886019481138,0.96,0.019694638556693237,1.4138054070968165,0.03921012086988929,1.0,0.0,2.5971073909340316,0.013655153900147729,0.04,0.019694638556693237,-0.29082139977301397,0.07588857675655983,1.0,0.0,2.6041138848827687,0.01191803540939556,1.0,0.0,1.0,0.0,0.43,0.0497569851956243
64,0.09,0.028762349126466136,-0.3823683894559722,0.07997556279164124,0.09,0.028762349126466136,-0.3823683894559722,0.07997556279164124,1.0,0.0,2.9172133190711644,0.007167568758399459,1.0,0.0,2.8723813355806,0.007305423403673765,0.63,0.048523658709390974,0.5041014979044496,0.08595572537555599,1.0,0.0,2.859653717588874,0.010085517753238444,0.99,0.009999999999999998,1.526993997369136,0.040642999690066836,1.0,0.0,2.860258135838954,0.008996466460820874,0.04,0.019694638556693237,-0.38655367252274864,0.09741109535601597,1.0,0.0,2.855314828179719,0.014488477438889378,1.0,0.0,1.0,0.0,0.3,0.04605661864718382
128,0.06,0.023868325657594204,-0.4171129254304285,0.08064312324844079,0.06,0.023868325657594204,-0.4171129254304285,0.08064312324844079,1.0,0.0,3.165776428497635,0.007034044210311193,1.0,0.0,3.098973041467039,0.00692692680974058,0.68,0.04688261722621507,0.6440706350296006,0.06002084578610034,1.0,0.0,3.0875934589069476,0.008775452125390161,0.96,0.019694638556693237,1.6181786509852967,0.04567653919507818,1.0,0.0,3.0916891290602257,0.007527150311951454,0.03,0.01714466079977653,-0.4454885468573859,0.07532347628620506,1.0,0.0,3.079443509676982,0.013139809917739007,1.0,0.0,1.0,0.0,0.16,0.036845294917747066
